Zip Code,Total Number of Trip
10023,843416
10199,843416
11243,843416
10280,1686832
10282,1686832
10168,1686832
10020,1686832
11211,2530248
11216,2530248
10005,3373664
10007,5903912
10004,5903912
11217,5903912
11249,5903912
10018,6747328
10010,6747328
10017,7590744
11238,7590744
10038,7590744
10012,8434160
10014,10120992
10022,10120992
10036,10120992
10016,10964408
10001,10964408
10009,13494656
10013,13494656
10019,14338072
11205,16024904
10011,17711736
10002,19398568
10003,19398568
11201,25302480
